Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,label
-3.5681505,0.66050714,0.39325863,-3.088205,-3.589948,0.3966215,0.17611095,-3.0727072,-3.1974475,0.75776505,0.65752876,-3.045223,-2.8368018,0.63188577,0.6799819,-2.9369602,-2.9958327,0.43133324,0.6537841,-3.177581,1
-3.5681505,0.5607034,0.7997491,-3.088205,-3.589948,0.3923205,0.6680358,-3.0727072,-3.1974475,0.85384876,1.0306768,-3.045223,-2.8368018,0.6417538,0.7523623,-2.9369602,-2.9958327,0.539834,0.7262252,-3.177581,1
-3.5681505,0.72904414,0.6776983,-3.088205,-3.589948,0.6561015,0.4884903,-3.0727072,-3.1974475,0.8372658,0.7383555,-3.045223,-2.8368018,0.7226171,0.771412,-2.9369602,-2.9958327,0.5567808,0.58954555,-3.177581,1
-3.5681505,0.41174996,0.5444798,-3.088205,-3.589948,0.3808498,0.35928932,-3.0727072,-3.1974475,0.52613413,0.43194246,-3.045223,-2.8368018,0.67565346,0.619717,-2.9369602,-2.9958327,0.3248257,0.4463715,-3.177581,1
-3.5681505,0.5075565,0.26312006,-3.088205,-3.589948,0.51421094,0.26790243,-3.0727072,-3.1974475,0.4925407,0.08472395,-3.045223,-2.8368018,0.6022323,0.54267025,-2.9369602,-2.9958327,0.184011,0.351555,-3.177581,1
-3.5681505,0.5075565,0.26312006,-3.088205,-3.589948,0.51421094,0.26790243,-3.0727072,-3.1974475,0.4925407,0.08472395,-3.045223,-2.8368018,0.6022323,0.54267025,-2.9369602,-2.9958327,0.184011,0.351555,-3.177581,1
-3.5681505,0.5075565,0.26312006,-3.088205,-3.589948,0.51421094,0.26790243,-3.0727072,-3.1974475,0.4925407,0.08472395,-3.045223,-2.8368018,0.6022323,0.54267025,-2.9369602,-2.9958327,0.184011,0.351555,-3.177581,1
-3.5681505,0.84032905,0.7699023,-3.088205,-3.589948,0.6767301,0.6358859,-3.0727072,-3.1974475,0.8179541,0.84385324,-3.045223,-2.8368018,0.9000584,0.7187281,-2.9369602,-2.9958327,0.56999266,0.5112371,-3.177581,1
-3.5681505,0.8587045,0.58432657,-3.088205,-3.589948,0.7967077,0.58205897,-3.0727072,-3.1974475,0.7711422,0.7938446,-3.045223,-2.8368018,0.8481463,0.6821745,-2.9369602,-2.9958327,0.551401,0.56612015,-3.177581,1
-3.5681505,1.0011489,0.43393183,-3.088205,-3.589948,0.9339788,0.5681047,-3.0727072,-3.1974475,0.7372687,0.56132275,-3.045223,-2.8368018,0.7421121,0.6312192,-2.9369602,-2.9958327,0.53908014,0.758507,-3.177581,1
